"filename", "language", "Markdown", "Docker", "YAML", "JSON with Comments", "JSON", "Batch", "JavaScript", "HTML", "Svelte", "XML", "PostCSS", "Java Properties", "Java", "comment", "blank", "total"
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\public\silent-check-sso.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\src\App.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 23, 98
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\src\app.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\src\components\Header.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\src\components\OptionRow.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 16, 103
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\src\components\PollBox.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 0, 32, 186
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\src\components\PollEditorView.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 36, 224
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\src\components\PollListView.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 8, 51
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\src\components\Sidebar.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 8, 57
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\src\lib\api.js", "JavaScript", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 10, 44
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\src\lib\auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 14, 27, 158
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\src\lib\store.js", "JavaScript", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 7, 31, 160
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\src\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\svelte.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 2, 9
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\frontend\vite.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 32, 22, 95
"c:\Users\Matthias\Documents\GitHub\DAT250-Project-FeedApp\keycloak\realms\feedapp-realm.json", "JSON", 0, 0, 0, 0, 2424, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2425
"Total", "-", 86, 22, 148, 16, 3790, 41, 292, 19, 618, 1, 25, 44, 835, 168, 573, 6678
